mass (GeV)	expected limit (90% CL)	observed limit (90% CL)
51.6448	2.28125e-06	3.22693e-06
52.1613	2.33594e-06	2.70522e-06
52.6829	2.29687e-06	2.53204e-06
53.2097	2.32031e-06	2.42522e-06
53.7418	2.34375e-06	3.14261e-06
54.2792	2.375e-06	3.47564e-06
54.822	2.46875e-06	1.91184e-06
55.3702	2.57813e-06	2.11007e-06
55.9239	2.51563e-06	2.3454e-06
56.4832	2.71875e-06	2.54906e-06
57.048	2.53125e-06	3.92994e-06
57.6185	2.64063e-06	3.50093e-06
58.1947	2.5625e-06	1.87843e-06
58.7766	2.58594e-06	1.47933e-06
59.3644	2.70312e-06	2.09147e-06
59.958	2.78125e-06	3.61829e-06
60.5576	2.71875e-06	5.49927e-06
61.1632	2.73437e-06	2.41463e-06
61.7748	2.78125e-06	1.81412e-06
62.3926	2.8125e-06	3.54526e-06
63.0165	2.875e-06	4.94566e-06
63.6466	2.95312e-06	3.16822e-06
64.2831	3e-06	2.58944e-06
64.9259	3.04688e-06	2.02569e-06
65.5752	3.10938e-06	2.1417e-06
66.231	3.17188e-06	3.38121e-06
66.8933	3.34375e-06	6.52486e-06
67.5622	3.35937e-06	4.99402e-06
68.2378	3.42187e-06	2.61397e-06
68.9202	3.34375e-06	2.02655e-06
69.6094	3.5625e-06	3.24234e-06
70.3055	3.5625e-06	6.35503e-06
71.0085	3.6875e-06	6.1934e-06
71.7186	3.85937e-06	3.78143e-06
72.4358	3.96875e-06	3.34171e-06
73.1602	4.15625e-06	4.04474e-06
73.8918	4.375e-06	3.67388e-06
74.6307	4.28125e-06	3.69144e-06
75.0	4.32813e-06	3.60648e-06
110.0	7.71875e-06	1.32396e-05
111.115	7.25e-06	5.51542e-06
112.226	8.96875e-06	4.57808e-06
113.348	7.59375e-06	4.90769e-06
114.482	8.125e-06	6.46793e-06
115.627	7.96875e-06	2.15557e-05
116.783	8.3125e-06	2.49822e-05
117.951	8.90625e-06	1.67808e-05
119.13	9.40625e-06	1.0076e-05
120.322	9.6875e-06	6.94873e-06
121.525	9.8125e-06	9.60085e-06
122.74	9.84375e-06	1.10805e-05
123.967	1.01875e-05	1.3443e-05
125.207	1.03125e-05	1.24741e-05
126.459	1.0625e-05	8.11792e-06
127.724	1.1e-05	8.27873e-06
129.001	1.14375e-05	1.3335e-05
130.291	1.1875e-05	1.6795e-05
131.594	1.20625e-05	1.59275e-05
132.91	1.27813e-05	1.51586e-05
134.239	1.2125e-05	1.31833e-05
135.581	1.24688e-05	1.1521e-05
136.937	1.2625e-05	1.46321e-05
138.307	1.30625e-05	2.33158e-05
139.69	1.35625e-05	1.59317e-05
141.086	1.38125e-05	1.12403e-05
142.497	1.36875e-05	8.83279e-06
143.922	1.39375e-05	1.46912e-05
145.362	1.43125e-05	1.94507e-05
146.815	1.46875e-05	1.82253e-05
148.283	1.5e-05	2.00499e-05
149.766	1.54375e-05	1.14221e-05
151.264	1.5625e-05	1.21431e-05
152.776	1.59375e-05	1.66666e-05
154.304	1.61875e-05	2.27549e-05
155.847	1.64375e-05	2.21399e-05
157.406	1.6875e-05	1.967e-05
158.98	1.69375e-05	2.0283e-05
160.57	1.73125e-05	1.92738e-05
162.175	1.75e-05	1.78962e-05
163.797	1.7875e-05	2.3904e-05
165.435	1.8e-05	1.2523e-05
167.089	1.85e-05	8.4825e-06
168.76	1.89375e-05	1.21493e-05
170.448	1.9125e-05	2.72499e-05
172.152	1.975e-05	3.46305e-05
173.874	2.00625e-05	3.83976e-05
175.613	2.05e-05	3.64462e-05
177.369	2.06875e-05	2.44064e-05
179.142	2.1625e-05	2.42732e-05
180.934	2.1375e-05	3.02766e-05
182.743	2.3875e-05	2.12264e-05
184.571	2.16875e-05	1.60168e-05
186.416	2.5e-05	1.47435e-05
188.28	2.35e-05	2.19176e-05
190.163	2.45e-05	2.56402e-05
192.065	2.475e-05	2.72431e-05
193.986	2.45e-05	3.53298e-05
195.925	2.4875e-05	3.28056e-05
197.885	2.525e-05	2.71896e-05
200.0	2.6e-05	2.69444e-05
